Main.Studies.MarkerTracking.t,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularElevation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.SternoClavicularAxialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularProtraction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularMedialRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.AcromioClavicularPosteriorTilt,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralExternalRotation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.GlenohumeralAbduction,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.ElbowPronation,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristFlexion,Main.Studies.MarkerTracking.JointAngleOutputs.OutputFile_LeftArm.WristAbduction
  7.690000000000000e+00, -3.113376127430911e-01,  9.764545131602809e-02,  3.375431441547756e-02,  7.876327032374616e-01, -5.214560284568637e-02,  3.375431441563218e-02,  3.739610059875176e-01, -3.132725033898071e-01,  4.236574464212229e-01,  1.315539668026458e+00,  8.328980591250373e-01, -9.937726702926819e-01,  2.360195906507337e-02
  7.700000000000000e+00, -3.113370472861410e-01,  9.764616446081575e-02,  3.375837330249971e-02,  7.876396820821644e-01, -5.214945382835245e-02,  3.375837330262470e-02,  3.740277458568433e-01, -3.132334028861193e-01,  4.236882039723968e-01,  1.315431592190976e+00,  8.328813386223416e-01, -9.938908444986944e-01,  2.359981192838650e-02
  7.710000000000000e+00, -3.113365621041023e-01,  9.764690308878876e-02,  3.376241421324414e-02,  7.876466043016296e-01, -5.215330852544198e-02,  3.376241421333622e-02,  3.740934639836138e-01, -3.131963949833128e-01,  4.237187865888855e-01,  1.315326583135080e+00,  8.328578378014398e-01, -9.940037597882765e-01,  2.359682017808699e-02
  7.720000000000000e+00, -3.113360865222766e-01,  9.764763493763007e-02,  3.376640968063388e-02,  7.876534473235390e-01, -5.215712096337288e-02,  3.376640968071938e-02,  3.741584044435797e-01, -3.131612893533791e-01,  4.237490232557811e-01,  1.315224629481925e+00,  8.328279256907386e-01, -9.941121728212642e-01,  2.359289932380161e-02
  7.730000000000000e+00, -3.113355543709365e-01,  9.764832997302797e-02,  3.377033474367780e-02,  7.876601912788869e-01, -5.216084884442385e-02,  3.377033474373699e-02,  3.742228071962495e-01, -3.131279132680162e-01,  4.237787595326369e-01,  1.315125706976124e+00,  8.327919380065026e-01, -9.942167674239223e-01,  2.358798339448976e-02
  7.740000000000000e+00, -3.113349056473103e-01,  9.764896116421351e-02,  3.377416766765125e-02,  7.876668196570086e-01, -5.216445470107156e-02,  3.377416766769400e-02,  3.742869034695104e-01, -3.130961134930920e-01,  4.238078621325718e-01,  1.315029781672174e+00,  8.327501847688299e-01, -9.943181536739450e-01,  2.358202670903493e-02
  7.750000000000000e+00, -3.113340883457952e-01,  9.764950527348315e-02,  3.377789045307739e-02,  7.876733195513598e-01, -5.216790688678885e-02,  3.377789045311354e-02,  3.743509063738066e-01, -3.130657546052513e-01,  4.238362218309928e-01,  1.314936812938247e+00,  8.327029471961408e-01, -9.944168700657132e-01,  2.357500243649671e-02
  7.760000000000000e+00, -3.113330605775780e-01,  9.764994377946334e-02,  3.378148946438576e-02,  7.876796820097192e-01, -5.217118076232219e-02,  3.378148946440878e-02,  3.744150006255937e-01, -3.130367137318428e-01,  4.238637571285749e-01,  1.314846757706171e+00,  8.326504777619245e-01, -9.945133878468539e-01,  2.356689994609850e-02
  7.770000000000000e+00, -3.113317923616973e-01,  9.765026366358054e-02,  3.378495598896886e-02,  7.876859023766952e-01, -5.217425972543310e-02,  3.378495598898858e-02,  3.744793342853758e-01, -3.130088733895432e-01,  4.238904175554710e-01,  1.314759575225525e+00,  8.325930098422535e-01, -9.946081102035110e-01,  2.355772321577385e-02
  7.779999999999999e+00, -3.113302660863072e-01,  9.765045756475033e-02,  3.378828617043736e-02,  7.876919800291243e-01, -5.217713526818613e-02,  3.378828617044065e-02,  3.745440134375551e-01, -3.129821182542029e-01,  4.239161829392978e-01,  1.314675229559097e+00,  8.325307607776911e-01, -9.947013623603956e-01,  2.354748970347519e-02
  7.790000000000000e+00, -3.113284759129135e-01,  9.765052343880987e-02,  3.379148047488411e-02,  7.876979176800765e-01, -5.217980629135965e-02,  3.379148047486768e-02,  3.746090996718374e-01, -3.129563375068688e-01,  4.239410596943901e-01,  1.314593688692443e+00,  8.324639199749958e-01, -9.947933824293087e-01,  2.353622889285738e-02
